Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Industry Research Fellowships,AQ Industry Research Fellowships 2022 Round 5,The University of Queensland,St Lucia,4067,, Elemental Laboratories Pty Ltd,Cost-effective iron-flow-battery for next-generation large-scale energy storage applications - Md Masud Rana,St Lucia,4072,"139b Latrobe Terrace, Paddington, Qld 4064",15/12/2022,Brisbane (C),Brisbane and Redlands,Maiwar,240000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,The University of Queensland,St Lucia,4067,," Anderson Horticulture 
 The AvoTree Nursery 
 Costa Group 
 Department of Agriculture and Fisheries",Innovating avocado for indoor cropping - Advanced climate-smart production systems.  Christopher O'Brien,Indooroopilly,4068,"Meadowvale QLD, Childers QLD, Atherton Tablelands Far North Queensland, Duranbah NSW",20/10/2021,Brisbane (C),Brisbane and Redlands,Maiwar,240000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,University of Queensland,St Lucia,4067,, EMvision Medical Devices Ltd,Graph-based learning approaches for monitoring clinical outcome of stroke patients - Guohun Zhu,St Lucia,4072,,20/10/2021,Brisbane (C),Brisbane and Redlands,Maiwar,240000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,University of Southern Queensland,Darling Heights (Toowoomba),4350,," Zero Waste Matters 
 Plastic and Rubber Technical Education Centre (PARTEC) 
 Austrak Pty Ltd.",Integrating waste plastics into sleeper for sustainable railway infrastructure - Wahid Ferdous,Darling Heights,4350,"140 Creek St, Brisbane City QLD 4000; 1030 Cavendish Rd, Mount Gravatt QLD 4122; and 1/271a South Street, Toowoomba QLD 4350",20/10/2021,Toowoomba (R),Darling Downs,Toowoomba South,160000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Queensland University of Technology,Kelvin Grove,4059,," Freshbitz Pty Ltd 
 Zeolite Australia Pty Ltd 
 SynBio Pty Ltd 
 The Environmental Development Group Pty Ltd",Advanced Engineered Materials from Queensland Natural Resources – John Outram,Brisbane City,4000,"Redlands, QLD; Emerald, QLD; Escott, NSW; Banyo, QLD",20/10/2021,Brisbane (C),Brisbane and Redlands,McConnel,240000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland - Rural Clinical School,South Toowoomba,4350,," University of South Australia 
 University of Queensland - Southern Queensland Rural Health",Impact of and implications beyond COVID-19 on clinical supervision of staff and students in hospital and health settings - Priya Martin,Mount Lofty,4350,Research sites - Darling Downs and South West Hospital and Health Services,16/07/2020,Toowoomba (R),Darling Downs,Toowoomba South,86952
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Urban Utilities 
 BGI Australia 
 Queensland Health",Combating the transmission of coronavirus in urban water systems through novel disinfection - Ji Lu,St Lucia,4067,"Pinkenba, Brisbane, QLD",16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,University of Southern Queensland,Springfield Central,4300,," Cogninet Australia Pty Ltd 
 NetCare Holdings Pty Ltd 
 Metro North Hospital and Health Service",Using Artificial Intelligence to prioritise emergency calls for suicide prevention due to COVID-19 pandemic - Rajib Rana,Springfield Central,4300,"Mermaid Beach, QLD; Herston, QLD",16/07/2020,Ipswich (C),Ipswich,Jordan,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Queensland Ballet Company 
 La Boite Theatre Ltd 
 Arts Nexus Inc",Creating out loud: Developing sustainable peer-mentoring to rebuild the arts post COVID-19 – Kate Power,St Lucia,4067,"Brisbane, Cairns",16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,90000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Mater Misericordiae Ltd 
 Khondrion BV",MitoKhondrion: Decreasing COVID-19 mortality by increasing the functioning of our cell’s powerhouses – Mitchell Sullivan,Woolloongabba,4102,"The University of Queensland, St Lucia, Brisbane, 4072: Mater Hospital, Woolloongabba, Brisbane, 4101",16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland - RBWH - Herston,Herston,4029,," The Royal Brisbane and Women's Hospital 
 Princess Alexandra Hospital 
 Department of Health - Forensic and Scientific Services 
 Department of Health - Pathology Queensland",Automating Infectious Disease Surveillance with Artificial Intelligence - Brian Forde ,Herston,4029,,16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,University of the Sunshine Coast,Sippy Downs,4556,, Sunshine Coast Hospital and Health Service,CoViBac: Host response and secondary pneumonia in COVID-19 - Olusola Olagoke,Birtinya,4575,"90 Sippy Downs Dr, Sippy Downs, QLD, 4556",16/07/2020,Sunshine Coast (R),Sunshine Coast,Buderim,90000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111,," Australian Macadamia Society Limited 
 University of Melbourne 
 Macadamias Direct 
 CL MACS 
 Suncoast Gold 
 K D Barber and KH Jones T/A Cropwatch Independent Laboratories 
 Marquis Macadamias 
 The Trustee for Emerald First Unit Trust T/A Applied Infrared Sensing",Advancing Queensland nut industry using machine vision - Shahla Hosseini Bai,Nathan,4111,Bundaberg QLD; Gympie DLD; Wardell NSW,20/10/2021,Brisbane (C),Brisbane and Redlands,Toohey,360000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111,," Raw Power Systems Pty Ltd (RPS) 
 Visio Recycling",Production of value-added products from waste extinguishers and tyres – Tak Kim,Nathan,4111,"Yatala, QLD / Parkwood, QLD",20/10/2021,Brisbane (C),Brisbane and Redlands,Toohey,240000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Queensland University of Technology,Brisbane City,4000,, Tree Crop Technologies Pty Ltd trading as Verterra,Artificial Intelligence Enabled Mine Site Rehabilitation - Kien Nguyen,Brisbane City,4000,"2 George St, Brisbane City, 4000, QLD",20/10/2021,Brisbane (C),Brisbane and Redlands,McConnel,360000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Central Queensland University,Norman Gardens,4701,," SynBio Pty Ltd 
 Northern Oil Refinery Pty Ltd",Cheaper greener Queensland: Optimising renewable fuel production from mixed-waste - Jahirul Islam,Norman Gardens,4701,"39 Guerassimoff Road, Yarwun, Qld 4694",20/10/2021,Rockhampton (R),Central Queensland,Keppel,360000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Central Queensland University,Norman Gardens,4701,, DIT Agtech Limited,New methane mitigation technology to increase Queensland’s beef industry sustainability –Diogo Costa,Kawana,4701,"Belmont Research Station, Rockhampton, QLD; and DIT clients at Paraway’s Rocklands Station, Camooweal, QLD and Yelvertoft’s Coolreagh Station, Mount Isa, QLD",20/10/2021,Rockhampton (R),Central Queensland,Keppel,240000
Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111,," Beam Mobility 
 Neuron Mobility 
 Townsville City Council 
 Brisbane City Council 
 Department of Transport and Main Roads",Transforming Queensland Tourism with Micro-transport – Abraham Leung,Nathan,4111,"Brisbane, Townsville",20/10/2021,Brisbane (C),Brisbane and Redlands,Toohey,240000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Mount Isa Mines Limited 
 Magotteaux Australia Pty Ltd 
 Solvay Technology Solutions",Overcoming pyrite challenges in Queensland’s ore reserves and mine tailings – Elizaveta Forbes,Indooroopilly,4068,"Mount Isa Mines - Railway Ave, Mount Isa QLD 4825 & Head office of Mount Isa Mines’ parent company - Glencore Queensland - 160 Ann St, Brisbane City QLD 4000",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,, Australian Coal Research Limited,Sensor development to push boundaries of fine coal recovery - Hangil Park,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,," Arrow Energy Pty Ltd 
 Santos Limited 
 Australia Pacific LNG Pty Ltd",Sustainable enhancement of coal seam gas production in Queensland - Christopher Leonardi,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,," Department of Agriculture and Fisheries 
 Nufarm Australia Limited 
 Tropical Pines Pty Ltd 
 Howe Farming Enterprises Pty Ltd 
 Genesearch Pty Ltd",RNA vaccines for next generation crop protection against fungal pathogens - Anne Sawyer,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,, Australian Coal Research Limited,Better Tailings Dewatering Technology for Queensland Coal Industry – Majid Ejtemaei,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,65587
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,, Magnetica Limited,The development of critical components for compact musculoskeletal MRI scanners - Fangfang Tang,Eagle Farm,4009,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,," Aquatec Maxcon Pty Ltd 
 Ridley Corporation Ltd 
 GHD Pty Ltd 
 Ingham & Co Pty Ltd",Protein-rich feed production from agri-industrial wastewaters by phototrophic bacteria - Tim Hüelsen,Murarrie,4172,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,, Printed Energy Pty Ltd,Low-cost and printable thin-film batteries for self-powered electronic devices-Miaoqiang Lyu,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,171361
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,University of the Sunshine Coast,Sippy Downs,4556,," Forest and Wood Products Australia Limited 
 Department of Agriculture and Fisheries 
 HQPlantations Pty Ltd 
 National Sirex Coordination Committee 
 Plant Health Australia",Biological invasions in forestry: drivers & mitigation for industry's biosecurity - Helen Nahrung,Dutton Park,4102,,22/10/2018,Sunshine Coast (R),Brisbane and Redlands,Buderim,283135
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Central Queensland University,Norman Gardens,4701,, Perfection Fresh Australia Pty Ltd,Automating crop estimation and harvest of Calypso mango - Zhenglin Wang,Norman Gardens,4701,"Ontario Farms, Dimbullah, Qld.; Simpsons Orchards, Childers, Qld.; DAF Mareeba, Qld; Perfection Fresh, Brisbane Markets, Rocklea, Qld.",18/11/2019,Rockhampton (R),Central Queensland,Keppel,82440
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Southport,4222,," Queensland Urban Utilities 
 Sydney Water Corporation 
 South Australia Water Corporation 
 Eurofins Environmental Testing Australia Pty Ltd",Risks of microplastics in biosolids to soils and agro-ecosystems - Shimaalsadat Ziajahromi,Southport,4215,"Darra QLD 4076, Australia (SAS laboratories)/   Fortitude Valley QLD 4006 (QUU)",18/11/2019,Gold Coast (C),Gold Coast,Bonney,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,University of the Sunshine Coast,Sippy Downs,4556,, Sunshine Coast Hospital and Health Service,Next-generation diagnostics for chronic lung disease infections - Erin Price,Birtinya,4575,,22/10/2018,Sunshine Coast (R),Sunshine Coast,Buderim,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,, Whitsunday Moorings and Marine Construction Pty. Ltd.,Autonomous microwave inspection systems for civil and marine industry – Adnan Trakic,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,256630
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,," Sustainable Solutions International Pty Ltd 
 Synergen Met Limited",A technology of PFAS remediation for decontaminating surface and ground water-Pradeep Shukla,Indooroopilly,4068,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,, Flew Solutions Australia Pty Ltd,High Capacity and Low Cost Rechargeable Multivalent Metal Ion Batteries - Xiaodan Huang,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,288862
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology - Herston,Herston,4006,," Bionics Queensland Limited 
 Konica Minolta Business Solutions Australia Pty Ltd 
 Metro North Hospital and Health Service",Biofabrication for advanced burn treatments with next-generation 3D healthcare technology - Sean Powell,Brisbane City,4000,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology,Kelvin Grove,4059,, Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital,A protocol to assess chest pain in the Emergency Department-Jaimi Greenslade,Herston,4006,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,297375
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology,Kelvin Grove,4059,," Metro North Hospital and Health Service 
 Mater Misericordiae Ltd",Patient-reported outcomes and cost-effectiveness of innovations within Queensland maternity services - Elizabeth Martin,South Brisbane,4101,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology - Herston,Herston,4006,," Bionics Queensland Limited 
 Konica Minolta Business Solutions Australia Pty Ltd 
 The University of Queensland - RBWH - Herston",Biofabrication for orthopaedic and soft tissue implants – Asha Mathew,Herston,4006,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Central Queensland University,Norman Gardens,4701,, Australian Wool Innovation Limited,Autonomous remote predation and disease detection of sheep - Jaime Manning,Barcaldine,4725,,22/10/2018,Rockhampton (R),Outback Queensland,Rockhampton,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology,Brisbane City,4000,," CARP Pharmaceuticals Pty Ltd 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Advanced molecular design of potent chemotherapeutic agents – Neha S.Gandhi,Woolloongabba,4102,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology,Brisbane City,4000,," NQ Banana Research Pty Ltd 
 LaManna Premier Group Pty Ltd",Gene edited Cavendish bananas resistant to Fusarium wilt TR4 - Upendra Shekhawat,Brisbane City,4000,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,," Noja Power Switchgear Pty Ltd 
 Energy Queensland Limited",High-precision Condition Monitoring of Critical Equipment in Modern Distribution Networks - Feifei Bai,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,," Rio Tinto Aluminium Limited 
 Queensland Alumina Limited",Developing mineral-gel technology for sustainable and economical bauxite residue management - Tuan Nguyen,St Lucia,4067,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,, EM Solutions Pty Ltd,Low-cost compact autonomous satellite terminal for ubiquitous broadband communication - Yifan Wang,Tennyson,4105,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,64578
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland - School of Public Health - Herston,Herston,4006,, Australian Defence Force Malaria and Infectious Disease Institute,"Development of a novel, rapid and non-invasive malaria diagnostic tool -Maggy Sikulu-Lord",Enoggera,4051,,22/10/2018,Brisbane (C),Brisbane and Redlands,McConnel,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,," CARP Pharmaceuticals Pty Ltd 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Towards the clinic: development of a new cancer therapeutic - Laura Croft,Woolloongabba,4006,,22/10/2018,Brisbane (C),Brisbane and Redlands,South Brisbane,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,," Metro South Hospital and Health Service 
 Biocomputing Platforms",Developing a comprehensive pharmacogenomics system to prevent adverse drug reactions - Jonathan Ellis,Woolloongabba,4102,,22/10/2018,Brisbane (C),Brisbane and Redlands,South Brisbane,294173
Industry Research Fellowships,AQ Industry Research Fellowships 2018 Round 1,The University of Queensland,St Lucia,4067,," Graphene Manufacturing Group Pty Ltd 
 Bionics Queensland Limited 
 Konica Minolta Business Solutions Australia Pty Ltd 
 Metro North Hospital and Health Service","Biofabrication for personalised vascular surgery prognosis, training, and treatment – Mark Allenby",St Lucia,4072,,22/10/2018,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Australian Coal Research Limited 
 Anglo Coal (moranbah North Management) Pty Limited 
 Oaky Creek Coal Pty Ltd",Improving fine-coal production and safety through advanced froth management - Yangyang Huai,St Lucia,4067,"Coal handling and preparation plant, Oaky Creek Coal, QLD; Coal handling and preparation plant, Moranbah North Mine, QLD.",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,31569
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Metro North Hospital and Health Services - The Prince Charles Hospital 
 Sullivan Nicolaides Pathology Pty Ltd",Toward routine blood testing for early cardiovascular disease detection - Jacky Suen.,Chermside,4032,"St. Lucia, Brisbane, Queensland; Parkville, Melbourne, Victoria",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Cook Medical Australia Pty Ltd,"Advanced Manufacturing of Radiopaque, Implantable Micro-components - Jeffrey Venezuela",St Lucia,4067,"95 Brandl St, Eight Mile Plains QLD 4113",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Comscentre Pty Ltd,AI-based Cyber-Attack Detection and Response System for Queensland based SMEs - Siamak Layeghy,St Lucia,4067,15 Mayneview St Milton QLD 4064 Australia,18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," EMvision Medical Devices Ltd 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Novel techniques for monitoring and classifying brain stroke – Lei Guo,St Lucia,4067,"1. Creek St, Brisbane City, QLD, 4000, Australia    2. Ipswich Rd, Woolloongabba, QLD, 4102, Australia",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," SDI Plastics 
 Fight Food Waste Limited 
 Queensland Strawberry Growers Association Inc 
 LuvaBerry",Finally Biobased and Biodegradable Packaging for Australian Berries - Luigi Vandi,St Lucia,4067,"Beenleigh, Queensland 4207",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Magnetica Limited,The development of the radiofrequency and imaging systems for a compact 3T musculoskeletal MRI scanner – Mingyan Li,Eagle Farm,4009,"The University of Queensland, St Lucia, QLD",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Arrow Energy Pty Ltd 
 Queensland Farmers' Federation Ltd 
 Santos Limited 
 Australia Pacific LNG Pty Limited 
 Comet Ridge Galilee Pty Ltd 
 Southern Queensland Landscapes 
 CSIRO",Enabling Transition: understanding co-benefits of new energy projects - Kathy Witt,St Lucia,4067,"Dalby, Chinchilla, Wandoan, Miles, Roma, Charleville, Clermont, Barcaldine, Moranbah, Dysart, Warwick, Gladstone - all in Queensland.  Possibly Hastings Point, Victoria as a case study",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Boeing Defence Australia Ltd,Integrated computational materials model using AI for advanced manufacturing – Yunpeng Zhang,St Lucia,4067,"The University of Queensland, St Lucia, Brisbane",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Queensland Urban Utilities,Aggregated Algal / Bacterial Flocs for Wastewater Treatment and Algae Industries- Andrew Ward ,Pinkenba,4008,,18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Ridley Corporation Limited 
 Darwalla Milling Co Pty Ltd",Green nanotechnology-based antibiotic-free poultry feed against coccidiosis – Jie Tang,St Lucia,4067,"Ridley facilities in Clifton, Toowoomba and Townsville, QLD? Darwalla facillities in Gatton, Waterford and Mount Cotton, QLD.",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Australian Coal Research Limited,Implementing non-dangerous frothers in coal preparation plants – Yufan Mu,St Lucia,4067,"Daunia Coal Mine, Oaky Creek Coal, Newlands Coal",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Dunblane Pastoral Holdings Pty Ltd 
 ND and MA O’ Dempsey 
 Warroo Station Pty Ltd 
 BAM Pastoral 
 Department of Agriculture and Fisheries - Dutton Park 
 Boehringer-Ingelheim Animal Health Australia Pty Ltd 
 University of the Sunshine Coast",BioClay innovation: sustainable alternative to pesticides for protecting Queensland’s livestock - Karishma Mody,St Lucia,4067,"42164 Landsborough highway, Barcaldine QLD 4725 (5%);  Warroo Station,  Inglewood Qld 4387 (5%); 6 Oakbar Close, Springfield QLD 4300 (10%);  41 Boggo Road, Dutton Park, QLD 4102 (20%).",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Queensland Urban Utilities,Create a stronger economic driver for biogas production and utilization- Chunyu Lai,St Lucia,4067,"Pinkenba, Brisbane, QLD",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,139682
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Brisbane City,4000,," Pathology Queensland 
 Translational Research Institute Trust 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",A personalised blood test for better prostate cancer patient outcome - Jyotsna Batra,Woolloongabba,4102,,18/11/2019,Brisbane (C),Brisbane and Redlands,McConnel,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Brisbane City,4000,," Department of Environment and Science 
 Department of Natural Resources, Mines and Energy - Dutton Park",Protecting the Great Barrier Reef by quantifying fine sediment discharge - Daniel Livsey,Dutton Park,4102,"Cairns, Ingham, Townsville, Rockhampton, Mackay and Bundaberg",18/11/2019,Brisbane (C),Brisbane and Redlands,McConnel,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Kelvin Grove,4059,," Inventia Life Science Operations Pty Ltd 
 Gelomics Pty Ltd 
 Mater Misericordiae Ltd",Bioengineered Platforms for Individualised Therapy Guidance in Breast Cancer - Nathalie Bock,Kelvin Grove,4159,NA,18/11/2019,Brisbane (C),Brisbane and Redlands,McConnel,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Brisbane City,4000,, Carpe Vitae Pharmaceuticals Pty Ltd,The development of a new compound to treat Alzheimer's disease - Dr Alexander Martyn,Woolloongabba,4102,"Princess Alexandra Hospital, Brisbane",18/11/2019,Brisbane (C),Brisbane and Redlands,McConnel,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Nathan,4111,," Minjerribah Moorgumpin Elders-in-Council Aboriginal Corporation 
 Department of Environment and Science - Brisbane",Wetlands for improving water quality of the Great Barrier Reef- Fernanda Adame,Nathan,4111,"400 George Streeet, Brisbane City, 4000.  Cardwell, 4949, and Innisfail, 4860, QLD.",18/11/2019,Brisbane (C),Brisbane and Redlands,Toohey,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Nathan,4111,," Metro North Hospital and Health Service - Jamieson Trauma Institute 
 Metro North Hospital and Health Service - Clinical Skills Development Service 
 The University of Queensland  - St Lucia Campus - Master","Improving emergency trauma care for rural, regional, and remote Queenslanders - Chiara Santomauro",Herston,4006,"Interviews and observations will be conducted across various rural, regional, and remote sites in Queensland. The clinical trial will be conducted in Mackay and Bundaberg, Queensland",18/11/2019,Brisbane (C),Brisbane and Redlands,Toohey,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Nathan,4111,," Seqwater 
 Healthy Land and Water Ltd",Future proofing Queensland’s drinking water supply using green infrastructure - Hannah Franklin,Nathan,4111,"117 Brisbane St, Ipswich QLD 4305; Level 19/160 Ann St, Brisbane City QLD 4000",18/11/2019,Brisbane (C),Brisbane and Redlands,Toohey,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Tritium Pty Ltd 
 Evie Australia 
 Veitch Lister Consulting Pty Ltd 
 Mitsubishi Motors Australia Limited",Increasing electric vehicle uptake to deliver energy sector co-benefits - Jake Whitehead,St Lucia,4067,"UQ's Moreton Bay Research Station, Stradbroke Island is one of the proposed sites for the smart charging trial.",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,118647
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Queensland Urban Utilities,Rapid and Comprehensive Microbial Profiling for Water Sustainability – Gaofeng Ni,Darra,4076,"1) Scientific Analytical Services (SAS) laboratory, 180 Ashridge Road, Darra QLD, 4076;  2) Luggage Point Sewage Treatment Plant, Pinkenba, QLD, 4008",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
